PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
050126,01-JAN-23,31-DEC-23,As Submitted,306412725,716316769,313074386
050127,01-JAN-23,31-DEC-23,As Submitted,166718095,388086590,592756077
050131,01-JAN-23,31-DEC-23,As Submitted,93310579,150358983,231588815
050133,01-JAN-23,31-DEC-23,As Submitted,423781080,1170314131,927371997
050135,01-JAN-23,31-DEC-23,As Submitted,337519971,1262796632,173518207
050137,01-JAN-23,31-DEC-23,As Submitted,453619065,701653182,1083980209
050138,01-JAN-23,31-DEC-23,As Submitted,1086893509,2419178115,1361143553
050139,01-JAN-23,31-DEC-23,As Submitted,885729785,1364612823,1781741716
050140,01-JAN-23,31-DEC-23,As Submitted,1283307417,2364595791,2550538902
050145,01-JAN-23,31-DEC-23,As Submitted,767463191,1832323828,969842224
050146,01-OCT-22,30-SEP-23,As Submitted,,2506223368,5006484634
050149,01-JAN-23,31-DEC-23,As Submitted,353061535,1055905213,663777169
050150,01-JAN-23,31-DEC-23,As Submitted,171617713,360428495,459507327
050152,01-JAN-23,31-DEC-23,As Submitted,197728654,584741194,302158453
050158,01-JAN-23,31-DEC-23,As Submitted,49299779,206877879,45358396
050169,01-OCT-22,30-SEP-23,As Submitted,665387410,2365693753,2537962550
050179,01-JAN-23,31-DEC-23,As Submitted,242559208,1488800735,2456880299
050180,01-JAN-23,31-DEC-23,As Submitted,891958814,3933360239,1710293882
050192,01-JAN-23,31-DEC-23,As Submitted,203974016,49222021,368176136
050194,01-JAN-23,31-DEC-23,As Submitted,129652834,353424021,640098817
050197,01-JAN-23,31-DEC-23,As Submitted,291144064,685945839,835998530
050204,01-JAN-23,31-DEC-23,As Submitted,229984500,1485510311,1409984525
050222,01-OCT-22,30-SEP-23,As Submitted,551036661,2179250649,1148192948
050224,01-JAN-23,31-DEC-23,As Submitted,1369873051,2489022672,2997525595
050230,01-JAN-23,31-DEC-23,As Submitted,64457707,200014451,93323962
050231,01-JAN-23,31-DEC-23,As Submitted,641784009,3597465320,2253301415
050232,01-JAN-23,31-DEC-23,As Submitted,186617148,548895547,520059884
050234,01-OCT-22,30-SEP-23,As Submitted,142510382,277908370,426584422
050235,01-JAN-23,31-DEC-23,As Submitted,495348747,1680714683,1104209609
050236,01-JAN-23,31-DEC-23,As Submitted,191773748,696512084,502674134
050238,01-JAN-23,31-DEC-23,As Submitted,305619167,1235244494,537693243
050239,01-JAN-23,31-DEC-23,As Submitted,468527670,2333541192,1227373884
050254,01-NOV-22,31-OCT-23,As Submitted,284225462,491905191,806025897
050257,01-JAN-23,31-DEC-23,As Submitted,34647636,80800724,10418983
050272,01-OCT-22,30-SEP-23,Amended,286043869,1078205929,1242162257
050278,01-JAN-23,31-DEC-23,As Submitted,537508982,1941139956,1077090249
050290,01-JAN-23,31-DEC-23,As Submitted,455723219,903470948,746000120
050291,01-JAN-23,31-DEC-23,As Submitted,360848739,721069247,666466547
050301,01-JAN-23,31-DEC-23,As Submitted,187130115,222682696,524169781
050305,01-JAN-23,31-DEC-23,As Submitted,601471506,1052671579,831284556
050313,01-JAN-23,31-DEC-23,As Submitted,148019896,242456906,401930835
050324,01-OCT-22,30-SEP-23,Amended,733164531,3471635028,1692514827
050329,01-JAN-23,31-DEC-23,As Submitted,205633313,1029818490,867154351
050335,01-JAN-23,31-DEC-23,As Submitted,269653058,420273955,980751825
050352,01-JAN-23,31-DEC-23,As Submitted,137317639,179424573,503044800
050353,01-JAN-23,31-DEC-23,As Submitted,516185703,1507972169,961897405
050357,01-JAN-23,31-DEC-23,As Submitted,87867573,81549217,261215954
050360,01-JAN-23,31-DEC-23,As Submitted,513679611,1621692416,1865030183
050382,01-JAN-23,31-DEC-23,As Submitted,449098170,1551989941,944942445
050393,01-OCT-22,30-SEP-23,As Submitted,167143568,665982529,655319614
050396,01-JAN-23,31-DEC-23,As Submitted,676053455,1844083280,735704315
050407,01-JAN-23,31-DEC-23,As Submitted,76696724,89572160,166843987
050411,01-JAN-23,31-DEC-23,As Submitted,553722467,842747393,1281930614
